"Bairro","Região"
"Sé","Centro"
"Bela Vista","Centro"
"Bom Retiro","Centro"
"Cambuci","Centro"
"Consolação","Centro"
"Liberdade","Centro"
"República","Centro"
"Santa Cecília","Centro"
"Sé","Centro"
"Aricanduva","Leste"
"Carrão","Leste"
"Vila Formosa","Leste"
"Cidade Tiradentes","Leste"
"Ermelino Matarazzo","Leste"
"Ponte Rasa","Leste"
"Guaianases","Leste"
"Lajeado","Leste"
"Itaim Paulista","Leste"
"Vila Curuçá","Leste"
"Itaquera","Leste"
"Cidade Líder","Leste"
"José Bonifácio","Leste"
"Parque do Carmo","Leste"
"Mooca","Leste"
"Água Rasa","Leste"
"Belém","Leste"
"Brás","Leste"
"Moóca","Leste"
"Pari","Leste"
"Tatuapé","Leste"
"Penha","Leste"
"Artur Alvim","Leste"
"Cangaíba","Leste"
"Penha","Leste"
"Vila Matilde","Leste"
"São Mateus","Leste"
"São Rafael","Leste"
"São Miguel ","Leste"
"Jardim Helena","Leste"
"Vila Jacuí","Leste"
"Sapopemba","Leste"
"Vila Prudente","Leste"
"São Lucas","Leste"
"Casa Verde","Norte"
"Cachoeirinha","Norte"
"Limão","Norte"
"Brasilândia","Norte"
" Freguesia do Ó","Norte"
"Jaçanã","Norte"
"Tremembé","Norte"
"Perus","Norte"
"Anhanguera","Norte"
"Pirituba","Norte"
"Jaraguá","Norte"
"São Domingos","Norte"
"Santana","Norte"
"Tucuruvi","Norte"
"Mandaqui","Norte"
"Vila Maria","Norte"
"Vila Guilherme","Norte"
"Vila Medeiros","Norte"
"Butantã","Oeste"
"Morumbi","Oeste"
"Raposo Tavares","Oeste"
"Rio Pequeno","Oeste"
"Vila Sônia","Oeste"
"Lapa","Oeste"
"Barra Funda","Oeste"
"Jaguara","Oeste"
"Jaguaré","Oeste"
"Perdizes","Oeste"
"Vila Leopoldina","Oeste"
"Pinheiros","Oeste"
"Alto de Pinheiros","Oeste"
"Itaim Bibi","Oeste"
"Jardim Paulista","Oeste"
"Pinheiros","Oeste"
"Campo Limpo","Sul"
"Capão Redondo","Sul"
"Vila Andrade","Sul"
"Capela do Socorro Cidade Dutra","Sul"
"Grajaú","Sul"
"Socorro","Sul"
"Cidade Ademar","Sul"
"Pedreira","Sul"
"Ipiranga","Sul"
"Sacomã","Sul"
"Jabaquara","Sul"
"M'Boi Mirim","Sul"
"Jardim Ângela","Sul"
"Jardim São Luís","Sul"
"Parelheiros","Sul"
"Marsilac","Sul"
"Santo Amaro","Sul"
"Campo Belo","Sul"
"Campo Grande","Sul"
"Santo Amaro","Sul"
"Moema","Sul"
"Saúde","Sul"
"Vila Mariana","Sul"
"Aclimação","Centro"
"Centro","Centro"
"Paraíso","Sul"
"Vila Olímpia","Sul"
"Higienópolis","Centro"
"Vila Nova Conceição","Sul"
"Vila Pompéia","Oeste"
"Sumaré","Oeste"
"Vila Clementino","Sul"
"Canindé","Centro"
"Água Branca","Oeste"
"Jardim América","Oeste"
"Pacaembu","Oeste"
